GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
391013       1   20489984   20502687     66      20  146650      0.61263      0.27006
127733       1   20511578   20523040     38      22  143812       2.4404    0.0073362
127731       1   20616412   20682162    415      59  146847       3.9668    3.642e-05
55450        1   20808384   20813728     21      12  148362      0.25339      0.39998
79594        1   20825441   20835674     62      24  145297       1.3614     0.086698
163933       1   20877932   20882013     17       6  149115        0.667      0.25238
978          1   20914444   20945901    195      42  147665        2.323      0.01009
65018        1   20958948   20978504    124      24  145354      0.87117      0.19183
1650         1   20977760   20989037     61      16  143282      -1.0076      0.84318
57576        1   20989975   21045317    355     102  145724       1.7995     0.035969
400745       1   21045725   21060133     70      25  149862       3.5841    0.0001691
50809        1   21068670   21114808    155      36  148665        1.321     0.093256
8672         1   21132285   21504381   1329      63  147529       1.0164      0.15471
1889         1   21543240   21673034    709      90  144980      0.38315       0.3508
84224        1   21765583   21811893    251      39  145210      -1.2408      0.89265
249          1   21834475   21905405    457      61  148028       2.5814    0.0049195
5909         1   21922208   21997010    405      70  149513       2.6138    0.0044771
84196        1   22004291   22110688    581      56  147956       1.0414      0.14884
401944       1   22137758   22152214     97      49  143750       1.5363     0.062236
3339         1   22148237   22264750    670      70  147001      0.85032      0.19757
23436        1   22302418   22316347    115      22  152391      -1.0711      0.85794
10136        1   22327149   22339535     70      22  145351      0.83337      0.20232
998          1   22378120   22419939    195      45  147184       0.6819      0.24765
54361        1   22443298   22471474    154      41  149999      0.77695      0.21859
9923         1   22777344   22858150    311      48  145220      0.86086      0.19466
2046         1   22889004   22930587    250      56  143099       0.3493      0.36343
712          1   22962118   22966675     26      10  141915     -0.77628      0.78121
714          1   22968969   22975103     36       9  149809    -0.072212      0.52878
713          1   22978682   22988630     50      17  146152      0.87924      0.18964
2048         1   23036263   23242323   1116     153  142030       1.4381     0.075202
646262       1   23279036   23300524     98      32  143533       0.7922      0.21412
729059       1   23336827   23343343     25       9  141053      0.88591      0.18783
23028        1   23344937   23410684    191      51  137703       1.6851      0.04598
7798         1   23410016   23505301    320      46  145585       1.4483     0.073762
3352         1   23517888   23522222     21      10  147837        1.951     0.025531
10236        1   23635453   23672143    138      36  138297      0.70999      0.23886
80818        1   23685441   23697357     54      16  146048      0.75454      0.22526
6920         1   23707055   23752269    253      48  138822      0.48999      0.31207
55616        1   23754556   23811750    242      46  143497       0.3186      0.37501
1870         1   23832420   23858712    112      30  140454       1.6808     0.046397
3399         1   23883921   23887285     25      14  143337       1.6515     0.049313
6135         1   24017269   24023415     32      14  136671      -0.5337      0.70322
6924         1   24068856   24089049     76      15  132272      0.91221      0.18083
57095        1   24103876   24115222     37      23  135958      0.23992       0.4052
11313        1   24116275   24122529     17      11  123137     -0.21388      0.58468
2582         1   24121589   24128294     21      15  128056      -1.7602      0.96082
3155         1   24127867   24166110    119      27  140594     -0.83916      0.79931
2517         1   24171067   24195859     96      25  142165       1.2268      0.10996
1269         1   24196505   24286549    404      39  139978      0.46627      0.32051
55629        1   24285301   24290452      4       2  156202     -0.73117      0.76766
10772        1   24292435   24307953      7       3  145440     -0.82758      0.79604
127294       1   24382031   24439665    378      57  142189      0.88401      0.18835
58985        1   24445761   24470783    130      37  149743      0.45587      0.32424
163702       1   24480147   24514765    231      47  146009      0.72372      0.23462
57822        1   24644812   24691472    226      69  144186       2.4115    0.0079444
90529        1   24682989   24742587    310      40  143789       2.6133    0.0044831
57185        1   24741245   24799973    357      48  144630       2.5598    0.0052374
11123        1   24827841   24864010    185      36  146851      0.68487      0.24671
400746       1   24881567   24936319    327      47  150539      0.64875      0.25825
10250        1   24968594   25000272     87      38  141739       1.3378     0.090477
25932        1   25070760   25171315    305      61  139754      0.33593      0.36846
864          1   25225502   25292648    323      87  143878       1.8356     0.033212
25949        1   25548267   25560013     59      18  124976      0.84683      0.19854
57035        1   25568240   25575010     33      14  131932      0.98065      0.16338
6007         1   25597884   25657436    128      29  125060      0.68288      0.24734
23585        1   25663789   25689352     97      29  139755       1.2187      0.11147
6006         1   25687353   25748363    232      44  135963       1.1962       0.1158
55219        1   25756388   25827200    302      36  136307      0.26154      0.39684
26119        1   25869071   25895877    159      34  139739     -0.50598      0.69356
57134        1   25942959   26111758    785      75  139764      0.60366      0.27303
57190        1   26125667   26145213    100      24  141476      0.13004      0.44827
56181        1   26145397   26159933     61      12  143799      -1.4918      0.93212
79000        1   26157914   26186939    117      14  142651     -0.53289      0.70295
164091       1   26187475   26203461     64      19  135424      0.04062       0.4838
3925         1   26210170   26234368     65      22  142737      0.14669      0.44169
5051         1   26285758   26327366    198      36  139765       2.0918     0.018227
2134         1   26347266   26363455     77      34  133359       2.8803    0.0019863
7780         1   26364013   26374439     49      16  143190       2.8106    0.0024728
84676        1   26377292   26395142     95      25  142991        4.581   2.3141e-06
149420       1   26436656   26452539     74      14  138951       3.9053   4.7061e-05
79927        1   26484511   26489619     31      14  145490       2.4017    0.0081591
51042        1   26495388   26497864     14       6  145087       3.0148    0.0012856
10256        1   26502981   26516875     72      33  139781       3.4611     0.000269
378807       1   26516119   26529533    106      26  143909       4.4199   4.9379e-06
64793        1   26559644   26606029    222      30  149083        1.201      0.11487
83442        1   26605213   26608513     12       7  146269        2.964    0.0015185
91544        1   26608273   26645756    203      28  149561       1.8858     0.029662
1043         1   26643411   26647514     29       8  151297       2.2553     0.012059
55057        1   26647850   26681621    185      41  144230       2.5441     0.005478
257101       1   26687625   26702023     89      24  147315       1.9053      0.02837
79727        1   26736269   26756719     81      35  144576       3.1562    0.0007992
79947        1   26757773   26798297    151      53  142219       2.8873    0.0019428
3151         1   26797902   26803633     25      13  142676        2.441    0.0073227
6195         1   26855249   26902020    197      46  144234       2.3023     0.010659
101928728    1   27018123   27023896     21      10  147319       2.1728     0.014898
8289         1   27021522   27109101    268      35  142034       1.8157     0.034705
55650        1   27112739   27125394     34      17  141459        1.005      0.15745
84243        1   27152201   27184592    122      40  141524       1.6544     0.049022
2810         1   27188633   27191447      6       4  134128       0.9895      0.16121
54707        1   27205372   27217869     36      16  138462        1.464     0.071594
63906        1   27216479   27227962     29      16  143487      0.39143      0.34774
8431         1   27237475   27241567     13       8  149423       0.4905      0.31189
10726        1   27247187   27273862     99      37  140713      0.83094        0.203
126695       1   27275547   27287901     41      16  133885       1.0197      0.15394
388610       1   27319189   27327877     31      12  135973      -1.2689      0.89777
115572       1   27331011   27340333     30      15  142459     -0.63009      0.73568
6548         1   27424800   27482621    185      53  138870       1.1305      0.12913
23038        1   27560007   27635624    226      59  140598    -0.037686      0.51503
84065        1   27647636   27663391     75      31  145286       0.2082      0.41754
84958        1   27667483   27680923     48      20  148519      0.81654       0.2071
9064         1   27681170   27694558     61      26  148108      0.55055      0.29097
8547         1   27695101   27702315     36      26  140506      0.64763      0.25861
388611       1   27705096   27710823     15       5  141038       1.4315     0.076148
2827         1   27718148   27722818     13       9  145810      -2.1852      0.98556
10163        1   27730234   27817678    322      42  141302       1.8101     0.035139
27245        1   27860256   27931463    228      62  133019     -0.47046      0.68099
2268         1   27938300   27962727    113      33  132592      -1.2694      0.89785
2537         1   27992072   27999724     32      13  143308       0.6602      0.25456
199870       1   28051490   28089926    148      22  142904       1.6233     0.052262
23673        1   28098694   28151463    193      38  137148       1.3113     0.094879
5511         1   28156252   28178683     90      35  137150       1.0646      0.14354
9473         1   28198055   28213696     80      22  144759     -0.93186       0.8243
6118         1   28217535   28242255    119      26  143992      -1.0547      0.85421
27293        1   28260456   28286163    145      37  145066     -0.44142      0.67054
55113        1   28285504   28295104     46      19  150128       0.1447      0.44247
2140         1   28296355   28416173    547      45  146969      0.30472      0.38029
5724         1   28473177   28521447    170      74  141227      -1.0928      0.86276
22826        1   28526289   28560542    155      30  146997      0.15754      0.43741
93974        1   28561602   28565116     17       5  153761     0.077981      0.46892
83667        1   28584963   28609502    120      39  145030      0.45038      0.32622
54797        1   28654513   28662978     25      17  140183        1.108      0.13392
65979        1   28695093   28827381    615      28  145660       2.5023     0.006169
1104         1   28831455   28866208    156      42  141502       2.2612     0.011872
54952        1   28878529   28905557     94      29  144006       2.5023      0.00617
115273       1   28917712   28921598     17      12  141171       2.3176     0.010236
6883         1   28929108   28976416    177      61  136270       2.6903     0.003569
10691        1   28994234   29042615    158      40  143860       3.8764      5.3e-05
51441        1   29062133   29096787    133      42  143009       3.4351   0.00029613
4985         1   29137654   29190708    306      46  143521       1.2771      0.10078
2035         1   29212603   29447058    947      66  142606      0.43258      0.33266
399474       1   29445437   29451421     33      16  140858       1.1289      0.12948
6429         1   29473750   29509637    142      47  144496    -0.010571      0.50422
51102        1   29518885   29558460    185      49  145018      0.41402      0.33943
10076        1   29562028   29653825    416      69  146262      0.13416      0.44664
4146         1   31183624   31197432     63      15  147151       1.0772       0.1407
7805         1   31204815   31231683    157      62  144650    -0.052884      0.52109
9672         1   31341813   31382480    188      75  146159       1.0216      0.15348
9698         1   31403853   31539838    582      52  147353        2.473    0.0066983
79570        1   31652092   31713734    394      39  144888     -0.86333      0.80602
9410         1   31731915   31770644    181      27  146858     -0.50917      0.69468
51538        1   31768832   31839069    302      29  145372      0.29864      0.38261
2170         1   31837600   31846923     42      23  136821     -0.14962      0.55947
347735       1   31881412   31908027    135      25  147642      0.28995      0.38593
64129        1   32041086   32053790     36      24  142410      0.83395      0.20215
3061         1   32082290   32093714     55      14  144244       1.2149      0.11221
553115       1   32094963   32111838     51      15  141135      0.87488      0.19082
1307         1   32117348   32170768    252      69  140545         1.73     0.041813
576          1   32192218   32231494    146      35  145466       1.8905     0.029343
90853        1   32255523   32282630    126      36  145383      0.95937      0.16869
8073         1   32371522   32404988    153      28  140489      0.47205      0.31844
10657        1   32478295   32526960    130      86  139801       2.1338      0.01643
55116        1   32537503   32568967     95      30  143914       1.1646       0.1221
23633        1   32572644   32642669    197      58  141271       1.0076      0.15681
200081       1   32644293   32664386     67      32  143871     -0.68896      0.75457
79140        1   32665202   32671491     18      10  144483     -0.21942      0.58684
55721        1   32670236   32674788     21       9  145430      -1.6071      0.94598
149069       1   32673695   32682297     39      25  145354    -0.093018      0.53706
56063        1   32679540   32688954     34      18  146358      0.65522      0.25616
8668         1   32686971   32697705     30      11  147122     -0.50566      0.69345
84734        1   32711818   32714961     10       5  147351     -0.97284      0.83468
3932         1   32715840   32752266    122      50  136024      -0.3567      0.63934
3065         1   32756708   32799727    141      31  136015      0.93096      0.17594
65108        1   32798930   32802840      3       2  156850     -0.80898      0.79074
81629        1   32817365   32830598     29      10  125997     -0.49369      0.68924
100128071    1   32826371   32828844      7       3  126281     -0.37466      0.64604
55108        1   32830204   32861062     91      40  136895       1.2654      0.10287
728116       1   32929658   32953960     84      39  133231      0.79949        0.212
653121       1   33003772   33072042    340      33  142788      0.69912      0.24224
339487       1   33085921   33117565    167      26  145327       1.5194     0.064331
5928         1   33115749   33152312    172      24  145195       1.4127     0.078879
81493        1   33145007   33169361    103      17  146450       1.3809     0.083658
57648        1   33206492   33241071    121      47  141884       1.9146     0.027771
8565         1   33240340   33284633    166      43  139494       1.2498      0.10568
64766        1   33281368   33324980    162      50  144704      0.49179      0.31143
252995       1   33327369   33339093     35      17  137465       1.0655      0.14333
3208         1   33350688   33360747     29      14  146406        1.849     0.032231
113452       1   33359696   33368041     28      14  139444        1.882     0.029917
127544       1   33401550   33431467    123      33  144975       1.9533      0.02539
204          1   33473041   33503512    116      39  143939       1.1066      0.13422
113451       1   33545711   33586632    163      50  140728     -0.16617      0.56599
55223        1   33610500   33648671    168      31  146392      0.42768      0.33444
149076       1   33720908   33766821    152      41  143669       1.2813      0.10005
127550       1   33771867   33787699     61      24  144056       1.0258       0.1525
1912         1   33788724   33842194    260      38  148037      0.38171      0.35134
7579         1   33937232   33962605    107      28  146694      0.35059      0.36295
114784       1   33979109   34632443   3465     329  144932       0.5097      0.30513
127540       1   34325076   34330892     26      13  146187     -0.12958      0.55155
84970        1   34631624   34685232    365      54  147354    -0.079571      0.53171
2709         1   35219648   35224613     31      18  142901     -0.44461       0.6717
127534       1   35224342   35229825     41      21  149501      0.92809      0.17668
2707         1   35245790   35252467     42      11  141382      -1.3202      0.90662
2701         1   35257559   35261851     28      11  139446      -1.0231      0.84687
113444       1   35315463   35326417     49      21  150447      -1.3943      0.91839
58512        1   35330537   35392083    202      81  142960      -1.1138      0.86731
100506144    1   35446627   35451948     17       6  148953      0.32353      0.37315
9204         1   35451266   35498569    188      35  138237      0.63616      0.26233
79830        1   35524387   35581960    214      53  140750       1.4273     0.076746
6421         1   35641481   35659766     96      22  140307       2.0577     0.019809
9202         1   35733444   35888045    539      49  140965       3.4217   0.00031117
79932        1   35898591   36024037    445      73  137928       3.3356   0.00042561
