# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_VARIABLES = cond_drug (set)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
79906        1    2251219    2324190    509      83  147740      0.18755    -0.0017721      0.18932
11079        1    2322214    2337383     78      34  144751     0.060416    -0.0017721     0.062188
5192         1    2335741    2345010     55      24  149673     0.019817    -0.0017721     0.021589
9651         1    2406754    2437464    185      55  144669       1.1733    -0.0017721       1.1751
55229        1    2439475    2459061    125      35  146487     -0.50676    -0.0017721     -0.50499
388585       1    2459684    2462684      9       6  146410      0.82852    -0.0017721       0.8303
8764         1    2486291    2495768     44      17  145899     -0.80793    -0.0017721     -0.80616
127281       1    2516899    2523408     43      26  142852     -0.81466    -0.0017721     -0.81288
79258        1    2521578    2565499    274      29  147882      -1.0604    -0.0017721      -1.0587
100287898    1    2572307    2707230    186      50  139105      -1.4482    -0.0017721      -1.4464
140625       1    2937046    2939967     20      11  143041      -1.7529    -0.0017721      -1.7511
63976        1    2984565    3355685   2762     299  145844       0.9654    -0.0017721      0.96717
27237        1    3370147    3398177    189      39  144402      -1.6249    -0.0017721      -1.6232
1953         1    3404006    3529059    913     132  144752     -0.72983    -0.0017721     -0.72806
127262       1    3540556    3547195     32      12  144621      -1.4726    -0.0017721      -1.4708
49856        1    3546831    3567671    116      36  136419     -0.81856    -0.0017721     -0.81679
7161         1    3568129    3653265    535     104  144817     -0.89496    -0.0017721     -0.89318
148870       1    3667965    3688709    146      46  143562      0.17687    -0.0017721      0.17864
388588       1    3688352    3693046     30      14  149558     -0.28528    -0.0017721     -0.28351
57470        1    3696284    3714068    140      32  147361     -0.45574    -0.0017721     -0.45397
9731         1    3728145    3774797    421      32  147588     -0.68876    -0.0017721     -0.68699
1677         1    3772845    3802493    288      45  145823      -1.0244    -0.0017721      -1.0227
339448       1    3805197    3817857     94      23  144595     0.033999    -0.0017721     0.035771
55966        1    4714105    4844351   1010     117  147129      -2.1044    -0.0017721      -2.1027
261734       1    5922370    6053618    732      53  146993     -0.90252    -0.0017721     -0.90075
8514         1    6051358    6161753    614     104  144227     -0.52791    -0.0017721     -0.52614
26038        1    6161347    6241194    504      75  143020      -1.0079    -0.0017721      -1.0061
6146         1    6244580    6260679     59      17  148030       0.6102    -0.0017721      0.61197
388591       1    6265189    6281859     82      19  141096      -2.5448    -0.0017721       -2.543
23463        1    6280753    6297044     88      26  142218     -0.89999    -0.0017721     -0.89822
390992       1    6303252    6306138     14       7  148325      -1.2168    -0.0017721      -1.2151
387509       1    6306906    6322035     77      15  141637      -1.3037    -0.0017721      -1.3019
11332        1    6323832    6454826    785      55  146435    -0.080152    -0.0017721     -0.07838
54626        1    6474792    6485724     48      14  147066     -0.13507    -0.0017721     -0.13329
83715        1    6483836    6521504    189      34  144806       1.1942    -0.0017721        1.196
8718         1    6520287    6528432     51      23  144671      0.40368    -0.0017721      0.40545
57449        1    6525652    6581121    320      71  143768     -0.61435    -0.0017721     -0.61258
79707        1    6580907    6615658    208      20  144061     -0.18313    -0.0017721     -0.18136
80835        1    6613987    6640317    152      37  137476     -0.51317    -0.0017721      -0.5114
3104         1    6639051    6649840     39      26  141201     -0.60708    -0.0017721     -0.60531
9903         1    6650284    6663958     75      31  148313       1.7318    -0.0017721       1.7336
148479       1    6672756    6684593     48      19  138521       2.1929    -0.0017721       2.1947
90326        1    6683925    6696146     58      17  148520       1.6978    -0.0017721       1.6996
55735        1    6693728    6762966    296      47  145928       2.1736    -0.0017721       2.1754
23261        1    6844384    7830266   5024     367  145806      0.71813    -0.0017721       0.7199
9341         1    7830329    7841992     58      18  151602    -0.054631    -0.0017721    -0.052859
8863         1    7843413    7905741    332      41  149459     -0.57656    -0.0017721     -0.57479
10911        1    7907172    7914551     43      16  149473     -0.36808    -0.0017721     -0.36631
3604         1    7975431    8004225    114      27  145611      0.39083    -0.0017721       0.3926
11315        1    8020714    8045842    135      41  140877       2.5569    -0.0017721       2.5587
54206        1    8071279    8087393     55      20  141628       2.0884    -0.0017721       2.0902
50651        1    8377171    8404727    151      37  141566     -0.49733    -0.0017721     -0.49556
473          1    8411964    8878699   1492      71  142431      -0.6504    -0.0017721     -0.64863
2023         1    8920559    8940151     72      27  141462      -1.6776    -0.0017721      -1.6758
765          1    9004893    9035651    212      55  146024     -0.68285       0.03258     -0.71543
155184       1    9062859    9087404    158      63  146626     -0.54012    -0.0017721     -0.53835
6518         1    9096505    9132763    186      40  147675      -0.9402    -0.0017721     -0.93842
80045        1    9162972    9190229    124      32  144594      -1.0434    -0.0017721      -1.0416
9563         1    9293822    9331896    219      58  144271       1.8072    -0.0017721       1.8089
80176        1    9334202    9430091    706     123  148732     0.078922    -0.0017721     0.080694
84275        1    9598528    9643331    189      46  137166     -0.85945    -0.0017721     -0.85768
199953       1    9647932    9675435    134      42  139283     -0.82518    -0.0017721     -0.82341
5293         1    9710789    9789672    412      86  140800     -0.90985       0.03258     -0.94243
22883        1    9788579    9885550    518      31  138534    -0.052294    -0.0017721    -0.050522
56998        1    9907834    9971316    302      55  139255       -1.525    -0.0017721      -1.5232
84328        1    9981668   10004460     95      31  146235       1.1983    -0.0017721       1.2001
64802        1   10002486   10046056    165      42  147378       1.9738    -0.0017721       1.9755
116362       1   10056255   10076578     72      16  149661       2.1272    -0.0017721        2.129
10277        1   10092041   10241797    646      55  144888       2.0106    -0.0017721       2.0124
23095        1   10269606   10442164    856      37  147578        1.305    -0.0017721       1.3068
5226         1   10457884   10481065    109      27  142566      0.24385       0.03258      0.21127
378708       1   10488944   10510739     96      23  148669      -1.1401    -0.0017721      -1.1384
100526739    1   10489159   10512560    102      23  148618      -1.1024    -0.0017721      -1.1006
1325         1   10508776   10512560     18       7  143245     -0.28428    -0.0017721      -0.2825
1676         1   10520088   10533613     59      27  140714      -1.7494    -0.0017721      -1.7477
5195         1   10534003   10691315    668      80  146817      -1.5604    -0.0017721      -1.5586
54897        1   10696161   10857733    868     167  144325      0.33779    -0.0017721      0.33957
148345       1   11006030   11043094    237      50  143969      0.04098    -0.0017721     0.042752
23435        1   11071462   11086049     59      20  141923       1.2601    -0.0017721       1.2619
10747        1   11086080   11108296    119      27  143960      0.88796    -0.0017721      0.88973
6723         1   11114149   11121091     22      10  134142       1.9988    -0.0017721       2.0006
5394         1   11126175   11160961    169      20  145634       2.3671    -0.0017721       2.3688
2475         1   11166088   11323614    616      37  143067       3.4502       0.03258       3.4176
10218        1   11248346   11256538     32      11  144374       2.0464    -0.0017721       2.0482
29914        1   11332255   11348991     48      14  137470       2.5978    -0.0017721       2.5996
57540        1   11538295   11598140    272      36  146431      0.32852    -0.0017721      0.33029
26232        1   11707424   11715888     45      29  145469      0.23997    -0.0017721      0.24174
93611        1   11713432   11723884     46      19  146241      -2.2963    -0.0017721      -2.2946
26270        1   11723150   11734911     71      28  137555      -2.4065    -0.0017721      -2.4047
10459        1   11734037   11752678    119      33  141142      -1.0239    -0.0017721      -1.0221
374946       1   11750781   11780836    155      45  145551     -0.76532    -0.0017721     -0.76355
57085        1   11795142   11811328     76      22  149011      0.42759    -0.0017721      0.42936
284498       1   11822827   11850142    220      25  147545      0.54533    -0.0017721       0.5471
4524         1   11845287   11867160    134      27  146968        1.001    -0.0017721       1.0028
1185         1   11865153   11903701    306      27  146796        1.295    -0.0017721       1.2967
4878         1   11905266   11908840     21       9  153265      0.93585    -0.0017721      0.93762
4879         1   11917021   11919992     10       6  144263    -0.092041    -0.0017721    -0.090269
90231        1   11979145   11987485     55      23  146362      0.97373    -0.0017721       0.9755
5351         1   11993724   12036099    225      40  147500        1.137    -0.0017721       1.1387
9927         1   12039238   12074072    173      36  139043       0.3743    -0.0017721      0.37608
60672        1   12078299   12092606     55      22  141588      0.76156    -0.0017721      0.76333
943          1   12122434   12204764    452      92  141234      -0.7799    -0.0017721     -0.77813
7133         1   12226044   12269779    234      50  145754      -1.3485    -0.0017721      -1.3467
55187        1   12289101   12572599   1083      68  143665      0.16511    -0.0017721      0.16688
9249         1   12627439   12678820    302      70  144407     -0.48644       0.03258     -0.51902
343066       1   12703566   12727597    136      30  142478     -0.43125    -0.0017721     -0.42948
126767       1   12775118   12789226     94      23  141095     -0.12546    -0.0017721     -0.12369
93190        1   12805163   12821602     93      19  137885     -0.57562    -0.0017721     -0.57384
390999       1   12833984   12838549     26      12  139761      -1.3381    -0.0017721      -1.3363
65121        1   12850546   12857277     30      12  125135     -0.32973    -0.0017721     -0.32796
440560       1   12883968   12892264     30      11  125937      -1.8229    -0.0017721      -1.8211
343069       1   12906761   12909578     17       8  141465     -0.55328    -0.0017721      -0.5515
65122        1   12915941   12922264     40      10  135758      -0.4722    -0.0017721     -0.47042
400735       1   12938533   12947025     14      10  124808      -0.8425    -0.0017721     -0.84073
343071       1   12952227   12959094      3       2  100264      -2.2512    -0.0017721      -2.2495
440561       1   12997802   13008406      1       1  105810       1.8933    -0.0017721       1.8951
440563       1   13182460   13185326     17       8  131069     -0.36421    -0.0017721     -0.36244
391003       1   13473553   13478569      1       1  157384       0.4328    -0.0017721      0.43457
391004       1   13715088   13719564      1       1  125086      0.86382    -0.0017721       0.8656
126755       1   13800945   13841242    296      68  144694      0.66343    -0.0017721       0.6652
10630        1   13909252   13944952    223      66  148051     -0.42912    -0.0017721     -0.42734
7799         1   14025714   14152074    668      78  147279      -1.6961    -0.0017721      -1.6943
23254        1   14218646   15445044   7889     504  146151     -0.53195    -0.0017721     -0.53018
55092        1   15478028   15547474    522      48  149654       -1.726    -0.0017721      -1.7242
727684       1   15490192   15499120     55      16  149051      -1.1822    -0.0017721      -1.1804
114827       1   15572730   15725267    872     123  147538      0.13221    -0.0017721      0.13399
79180        1   15735391   15757339    147      47  138680      0.46863    -0.0017721      0.47041
11330        1   15763938   15773653     46      19  146113      0.59689    -0.0017721      0.59867
63036        1   15782223   15799086    108      27  149005     -0.55133    -0.0017721     -0.54956
51032        1   15801596   15818395     88      26  146745       1.3037    -0.0017721       1.3054
842          1   15817396   15852407    202      26  148743      0.49712    -0.0017721      0.49889
23341        1   15852343   15898728    189      30  148366      0.70592    -0.0017721      0.70769
79814        1   15897694   15912605     85      18  148072      0.26123    -0.0017721        0.263
84301        1   15942953   15996039    206      26  147038     -0.12256    -0.0017721     -0.12079
6248         1   15985364   15988717     13       6  142778      -1.9177    -0.0017721      -1.9159
23207        1   16009632   16061764    267      30  147798      0.64966    -0.0017721      0.65143
284723       1   16061721   16068384     24      11  143597      -1.1192    -0.0017721      -1.1174
388595       1   16067987   16074792     45      19  143345       1.5968    -0.0017721       1.5986
54751        1   16082107   16113589    166      39  143337      0.83703    -0.0017721       0.8388
440567       1   16133157   16135194     17       5  148320       1.2367    -0.0017721       1.2385
23013        1   16173359   16267451    375      53  143095       1.1656    -0.0017721       1.1673
7709         1   16267864   16303627    133      50  142925       1.9857    -0.0017721       1.9875
101928566    1   16301626   16324201    157      38  145890       1.6324    -0.0017721       1.6341
149563       1   16329731   16333684     33      13  145681    -0.070612    -0.0017721     -0.06884
27129        1   16340023   16347084     73      12  150813        2.382    -0.0017721       2.3838
1187         1   16347486   16361048    119      30  146317       2.6185       0.03258       2.5859
1188         1   16369231   16384321    160      27  148926      0.86285       0.03258      0.83027
348487       1   16383764   16401127     93      19  148207       1.1943    -0.0017721       1.1961
1969         1   16450332   16483582    145      53  143790      0.47206       0.03258      0.43948
128272       1   16524099   16540104     90      19  149202     -0.25615    -0.0017721     -0.25438
101927546    1   16550843   16554528     15       4  146793      0.14208    -0.0017721      0.14385
79363        1   16557682   16564659     28      13  149580      0.69908    -0.0017721      0.70085
54455        1   16572839   16679965    413      43  146251     -0.63445    -0.0017721     -0.63268
26099        1   16692525   16725143    118      30  143964      0.18443    -0.0017721       0.1862
374955       1   16721601   16764919    228      60  145790     -0.46194    -0.0017721     -0.46016
55707        1   16766167   16787085     93      32  146300     -0.71325    -0.0017721     -0.71148
100133301    1   16864561   16866698      7       5  127179     -0.37709    -0.0017721     -0.37531
55672        1   16888422   16941100     11       7  122852      -1.9862    -0.0017721      -1.9845
11223        1   17080629   17091975      2       1  132841      0.67863    -0.0017721       0.6804
9696         1   17247445   17299974    259      65  139169      -2.1361    -0.0017721      -2.1343
4237         1   17300497   17309081     32      13  145556     -0.54717    -0.0017721      -0.5454
23400        1   17311953   17339467    116      40  139662      -1.7231    -0.0017721      -1.7213
6390         1   17344717   17381665    197      31  146352    -0.051218    -0.0017721    -0.049446
11240        1   17392756   17446948    383      38  150504      -1.6024       0.03258       -1.635
29943        1   17530621   17573001    299      88  148732       -2.131       0.03258      -2.1635
51702        1   17574593   17611228    270      45  150141     -0.14337       0.03258     -0.17595
23569        1   17633690   17690995    417      46  147223      -1.2943       0.03258      -1.3269
353238       1   17697741   17728695    264      34  146154        1.555       0.03258       1.5224
55920        1   17732751   17767250    186      53  143375      0.24046    -0.0017721      0.24224
55160        1   17845693   18024870   1035     124  140876       -1.139    -0.0017721      -1.1373
81569        1   18080808   18154058    359      58  148477     -0.44128    -0.0017721     -0.43951
84966        1   18433240   18705477   1740     226  145923     -0.99008    -0.0017721     -0.98831
127707       1   18806424   18813040     52      13  143229      -1.6652    -0.0017721      -1.6634
5081         1   18956500   19075860    697     145  144974     -0.70789    -0.0017721     -0.70612
80834        1   19165593   19187155    172      39  150886       1.0472    -0.0017721        1.049
8659         1   19197424   19230293    266      41  147972     -0.68243    -0.0017721     -0.68066
126917       1   19230274   19283826    325      63  149164     -0.90613    -0.0017721     -0.90435
23352        1   19400500   19537812    532      47  145096      0.48347    -0.0017721      0.48524
23065        1   19541658   19579053    179      33  149110       1.0287    -0.0017721       1.0305
51154        1   19577075   19587122     74      14  150342      0.82899    -0.0017721      0.83076
22977        1   19608557   19616280     51      12  143683      0.95977    -0.0017721      0.96154
8574         1   19628702   19639640     57      26  147541     -0.99077    -0.0017721       -0.989
54896        1   19637740   19659425    154      30  150805     -0.75249    -0.0017721     -0.75072
832          1   19664767   19813066    935      54  147636       1.1457    -0.0017721       1.1474
440574       1   19922471   19956815    185      26  144032      0.29725    -0.0017721      0.29902
100532736    1   19922471   19985449    359      52  145897     -0.39665    -0.0017721     -0.39488
4681         1   19968723   19985449     96      37  148252     -0.53696    -0.0017721     -0.53519
3362         1   19990780   20006555     87      28  143041      0.15703       0.03258      0.12445
255104       1   20008206   20127424    725     108  144987       1.9941    -0.0017721       1.9959
54546        1   20140022   20142771     29      13  153105     -0.46561    -0.0017721     -0.46383
23252        1   20207356   20239938    136      37  148136      -1.2778    -0.0017721      -1.2761
30814        1   20246300   20251110     35      14  147971      -1.1178       0.03258      -1.1504
5320         1   20301424   20307932     35      20  146849      -1.1604       0.03258       -1.193
5322         1   20385157   20418894    203      45  144857     -0.19331    -0.0017721     -0.19154
26279        1   20438643   20447059     43      20  148344      0.61493    -0.0017721       0.6167
64600        1   20464823   20477379     63      38  144841     -0.97028    -0.0017721     -0.96851
391013       1   20489984   20502687     66      20  146650     -0.08361    -0.0017721    -0.081838
127733       1   20511578   20523040     38      22  143812       1.7559    -0.0017721       1.7577
127731       1   20616412   20682162    415      59  146847       3.1463    -0.0017721       3.1481
55450        1   20808384   20813728     21      12  148362     -0.33395    -0.0017721     -0.33218
79594        1   20825441   20835674     62      24  145297      0.64669    -0.0017721      0.64846
163933       1   20877932   20882013     17       6  149115      0.17726    -0.0017721      0.17903
978          1   20914444   20945901    195      42  147665       1.5238    -0.0017721       1.5255
65018        1   20958948   20978504    124      24  145354      0.15441    -0.0017721      0.15619
1650         1   20977760   20989037     61      16  143282      -1.6687    -0.0017721      -1.6669
57576        1   20989975   21045317    355     102  145724      0.90981    -0.0017721      0.91159
400745       1   21045725   21060133     70      25  149862       2.8578    -0.0017721       2.8596
50809        1   21068670   21114808    155      36  148665      0.54962    -0.0017721      0.55139
8672         1   21132285   21504381   1329      63  147529      0.18045    -0.0017721      0.18222
1889         1   21543240   21673034    709      90  144980     -0.47333    -0.0017721     -0.47156
84224        1   21765583   21811893    251      39  145210      -2.0094    -0.0017721      -2.0076
249          1   21834475   21905405    457      61  148028       1.7514    -0.0017721       1.7532
5909         1   21922208   21997010    405      70  149513        1.767    -0.0017721       1.7687
84196        1   22004291   22110688    581      56  147956      0.24479    -0.0017721      0.24656
401944       1   22137758   22152214     97      49  143750      0.70931    -0.0017721      0.71108
3339         1   22148237   22264750    670      70  147001      0.02751    -0.0017721     0.029282
23436        1   22302418   22316347    115      22  152391      -1.7352    -0.0017721      -1.7334
10136        1   22327149   22339535     70      22  145351      0.14382    -0.0017721      0.14559
998          1   22378120   22419939    195      45  147184    -0.080645    -0.0017721    -0.078873
54361        1   22443298   22471474    154      41  149999   -0.0047415    -0.0017721   -0.0029695
9923         1   22777344   22858150    311      48  145220     0.066755    -0.0017721     0.068527
2046         1   22889004   22930587    250      56  143099     -0.46832       0.03258      -0.5009
712          1   22962118   22966675     26      10  141915      -1.3706    -0.0017721      -1.3688
714          1   22968969   22975103     36       9  149809     -0.64685    -0.0017721     -0.64508
713          1   22978682   22988630     50      17  146152      0.20067    -0.0017721      0.20244
2048         1   23036263   23242323   1116     153  142030      0.53821       0.03258      0.50563
646262       1   23279036   23300524     98      32  143533     0.024403    -0.0017721     0.026175
729059       1   23336827   23343343     25       9  141053      0.31147    -0.0017721      0.31324
23028        1   23344937   23410684    191      51  137703       0.8796    -0.0017721      0.88137
7798         1   23410016   23505301    320      46  145585      0.66458    -0.0017721      0.66635
3352         1   23517888   23522222     21      10  147837       1.3544       0.03258       1.3218
10236        1   23635453   23672143    138      36  138297   -0.0018687    -0.0017721  -9.6608e-05
80818        1   23685441   23697357     54      16  146048      0.11053    -0.0017721      0.11231
6920         1   23707055   23752269    253      48  138822     -0.26982    -0.0017721     -0.26805
55616        1   23754556   23811750    242      46  143497     -0.44688    -0.0017721     -0.44511
1870         1   23832420   23858712    112      30  140454      0.93403    -0.0017721       0.9358
3399         1   23883921   23887285     25      14  143337      0.98742    -0.0017721      0.98919
6135         1   24017269   24023415     32      14  136671      -1.1549    -0.0017721      -1.1531
6924         1   24068856   24089049     76      15  132272      0.33585    -0.0017721      0.33762
57095        1   24103876   24115222     37      23  135958     -0.43376    -0.0017721     -0.43199
11313        1   24116275   24122529     17      11  123137     -0.64589    -0.0017721     -0.64412
2582         1   24121589   24128294     21      15  128056      -2.3661    -0.0017721      -2.3643
3155         1   24127867   24166110    119      27  140594      -1.5697    -0.0017721      -1.5679
2517         1   24171067   24195859     96      25  142165      0.52171    -0.0017721      0.52348
1269         1   24196505   24286549    404      39  139978     -0.29215    -0.0017721     -0.29038
55629        1   24285301   24290452      4       2  156202      -1.0738    -0.0017721       -1.072
10772        1   24292435   24307953      7       3  145440      -1.2052    -0.0017721      -1.2034
127294       1   24382031   24439665    378      57  142189     0.057457    -0.0017721     0.059229
58985        1   24445761   24470783    130      37  149743     -0.32849    -0.0017721     -0.32672
163702       1   24480147   24514765    231      47  146009     -0.07782    -0.0017721    -0.076047
57822        1   24644812   24691472    226      69  144186       1.5677    -0.0017721       1.5695
90529        1   24682989   24742587    310      40  143789       1.8429    -0.0017721       1.8447
57185        1   24741245   24799973    357      48  144630       1.7609    -0.0017721       1.7627
11123        1   24827841   24864010    185      36  146851     -0.08304    -0.0017721    -0.081268
400746       1   24881567   24936319    327      47  150539     -0.15818    -0.0017721      -0.1564
10250        1   24968594   25000272     87      38  141739      0.60529    -0.0017721      0.60706
25932        1   25070760   25171315    305      61  139754     -0.47094    -0.0017721     -0.46917
864          1   25225502   25292648    323      87  143878      0.96676    -0.0017721      0.96853
25949        1   25548267   25560013     59      18  124976      0.53071    -0.0017721      0.53248
57035        1   25568240   25575010     33      14  131932      0.46574    -0.0017721      0.46751
6007         1   25597884   25657436    128      29  125060     0.030861    -0.0017721     0.032633
23585        1   25663789   25689352     97      29  139755      0.49494    -0.0017721      0.49671
6006         1   25687353   25748363    232      44  135963      0.42133    -0.0017721       0.4231
55219        1   25756388   25827200    302      36  136307     -0.49074    -0.0017721     -0.48896
26119        1   25869071   25895877    159      34  139739      -1.2593    -0.0017721      -1.2576
57134        1   25942959   26111758    785      75  139764       -0.204    -0.0017721     -0.20223
57190        1   26125667   26145213    100      24  141476     -0.58019    -0.0017721     -0.57842
56181        1   26145397   26159933     61      12  143799      -2.0909    -0.0017721      -2.0891
79000        1   26157914   26186939    117      14  142651      -1.1379    -0.0017721      -1.1361
164091       1   26187475   26203461     64      19  135424     -0.60926    -0.0017721     -0.60749
3925         1   26210170   26234368     65      22  142737      -0.5688    -0.0017721     -0.56703
5051         1   26285758   26327366    198      36  139765        1.334    -0.0017721       1.3357
2134         1   26347266   26363455     77      34  133359        2.143    -0.0017721       2.1447
7780         1   26364013   26374439     49      16  143190       2.1574    -0.0017721       2.1592
84676        1   26377292   26395142     95      25  142991       3.8717    -0.0017721       3.8735
149420       1   26436656   26452539     74      14  138951       3.3029    -0.0017721       3.3047
79927        1   26484511   26489619     31      14  145490       1.7482    -0.0017721         1.75
51042        1   26495388   26497864     14       6  145087       2.4889    -0.0017721       2.4907
10256        1   26502981   26516875     72      33  139781       2.7048    -0.0017721       2.7066
378807       1   26516119   26529533    106      26  143909       3.6877       0.03258       3.6551
64793        1   26559644   26606029    222      30  149083      0.46962    -0.0017721      0.47139
83442        1   26605213   26608513     12       7  146269       2.4169    -0.0017721       2.4187
91544        1   26608273   26645756    203      28  149561       1.1667    -0.0017721       1.1685
1043         1   26643411   26647514     29       8  151297       1.7061    -0.0017721       1.7079
55057        1   26647850   26681621    185      41  144230       1.7511    -0.0017721       1.7529
257101       1   26687625   26702023     89      24  147315       1.1934    -0.0017721       1.1952
79727        1   26736269   26756719     81      35  144576       2.3688    -0.0017721       2.3705
79947        1   26757773   26798297    151      53  142219       2.0735    -0.0017721       2.0753
3151         1   26797902   26803633     25      13  142676        1.801    -0.0017721       1.8027
6195         1   26855249   26902020    197      46  144234       1.5013    -0.0017721        1.503
101928728    1   27018123   27023896     21      10  147319        1.602    -0.0017721       1.6037
8289         1   27021522   27109101    268      35  142034       1.1125    -0.0017721       1.1142
55650        1   27112739   27125394     34      17  141459      0.38697    -0.0017721      0.38874
84243        1   27152201   27184592    122      40  141524      0.89036    -0.0017721      0.89213
2810         1   27188633   27191447      6       4  134128      0.60738    -0.0017721      0.60915
54707        1   27205372   27217869     36      16  138462       0.8259    -0.0017721      0.82767
63906        1   27216479   27227962     29      16  143487     -0.25418    -0.0017721     -0.25241
8431         1   27237475   27241567     13       8  149423    -0.051852    -0.0017721     -0.05008
10726        1   27247187   27273862     99      37  140713     0.099132    -0.0017721       0.1009
126695       1   27275547   27287901     41      16  133885      0.41329    -0.0017721      0.41506
388610       1   27319189   27327877     31      12  135973      -1.8036    -0.0017721      -1.8018
115572       1   27331011   27340333     30      15  142459      -1.1932    -0.0017721      -1.1914
6548         1   27424800   27482621    185      53  138870      0.32354       0.03258      0.29096
23038        1   27560007   27635624    226      59  140598      -0.8213    -0.0017721     -0.81953
84065        1   27647636   27663391     75      31  145286     -0.54894    -0.0017721     -0.54717
84958        1   27667483   27680923     48      20  148519      0.12657    -0.0017721      0.12834
9064         1   27681170   27694558     61      26  148108     -0.18095    -0.0017721     -0.17918
8547         1   27695101   27702315     36      26  140506    -0.074904    -0.0017721    -0.073132
388611       1   27705096   27710823     15       5  141038       1.0023    -0.0017721       1.0041
2827         1   27718148   27722818     13       9  145810      -2.7362    -0.0017721      -2.7345
